chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,class
1,0,1,0,0,1,0,1,0,1
1,0,0,0,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,1,0,1
1,0,1,1,1,0,0,1,0,1
0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,1,1,0,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,0
0,1,0,0,0,0,1,0,1,0
0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1,1
0,1,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,1,1
1,0,0,0,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,0,1,1
1,0,0,0,0,1,0,1,0,1
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,1,1
1,0,0,0,0,0,0,0,1,1
0,1,0,0,0,0,0,0,1,0
1,0,1,0,0,0,0,0,1,1
1,0,1,0,1,0,0,1,0,1
1,0,1,0,1,0,0,1,0,1
1,0,1,0,0,0,0,1,0,1
1,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,1
0,1,0,0,0,0,1,0,1,1
1,0,0,1,0,0,0,1,0,1
1,0,0,0,0,1,0,1,0,1
0,1,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1,0
0,0,0,1,1,0,0,1,0,0
1,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0
0,1,0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,1
1,0,0,1,0,0,0,0,1,1
1,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,0,1,1
0,0,0,0,0,0,1,0,1,0
0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1,1
0,1,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0
1,0,1,1,1,0,0,1,0,1
1,0,1,1,0,1,0,1,0,1
0,1,0,0,0,0,0,0,1,1
0,1,0,0,0,0,0,0,1,1
0,1,0,0,0,0,0,0,1,1
0,1,0,0,0,0,1,0,1,0
0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,1
1,1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0
1,0,1,0,0,1,0,1,0,1
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1,0
